,Issue Date,Plate ID,Registration State,Summons Number,Vehicle Color,Vehicle Expiration Date,Vehicle Make,Violation Description,Violation code,alert,id_drone
0,2014-07-28,FYW2775,NY,7611181981.0,BLACK,2016-01-01 00:00:00,SUBAR,Double Parking (Non-COM),46A,0.0,2.0
1,2014-07-19,FZL7450,NY,7443513951.0,GR,2014-01-01 00:00:00,VOLVO,Insp Sticker Expired (NYS),71A,0.0,7.0
2,2014-07-14,GSM7092,NY,7567693926.0,BLACK,2014-01-01 00:00:00,HONDA,No Parking (street clean),21,0.0,38.0
3,2014-07-31,18846MC,NY,7236306897.0,WHITE,2015-01-01 00:00:00,NS/OT,No Standing,14,0.0,44.0
4,2014-07-28,75455MC,NY,7846676386.0,WH,2015-01-01 00:00:00,MITSU,Exp. Muni-Mtr (Com. Mtr. Z),42,0.0,52.0
5,2014-07-23,81651JN,NY,7565529965.0,WHITE,2014-01-01 00:00:00,INTER,Bike Lane,48,0.0,73.0
6,2014-07-01,FYB2774,NY,1366539345.0,BLACK,2014-01-01 00:00:00,HONDA,,,0.0,85.0
7,2014-07-14,D12DKZ,NJ,7291434270.0,BLUE,8888-01-01 00:00:00,SUBAR,Failure to Display Muni Rec,38,0.0,86.0
8,2014-07-08,74380JF,NY,7072228573.0,RD,2014-01-01 00:00:00,FRUEH,Double PKG-Midtown,47,0.0,90.0
9,2014-07-07,FWF7853,NY,7215146558.0,GREY,2015-01-01 00:00:00,HONDA,Failure to Display Muni Rec,38,0.0,93.0
10,2014-07-19,42808JZ,NY,7099490588.0,WHITE,8888-01-01 00:00:00,GMC,No Stand (exc auth veh),17,0.0,115.0
11,2014-07-03,30684KA,NY,7055345777.0,WH,2015-01-01 00:00:00,ISUZU,Double PKG-Midtown,47,0.0,126.0
12,2014-07-02,BHV8865,NY,7442734261.0,RED,2016-01-01 00:00:00,NS/OT,No Parking (street clean),21,0.0,128.0
13,2014-07-16,66647KA,NY,7059291301.0,WH,2016-01-01 00:00:00,FORD,No Parking (Com Plate),20,0.0,138.0
14,2014-07-14,63398JM,NY,7304393786.0,BROWN,8888-01-01 00:00:00,GMC,Sidewalk,51,0.0,149.0
15,2014-07-30,2028689,IN,7826505057.0,BLACK,8888-01-01 00:00:00,FRUEH,Platform lifts in low posit,84,0.0,155.0
16,2014-07-09,610133,NY,7208349824.0,BK,2016-01-01 00:00:00,CHEVR,Sidewalk,51,0.0,172.0
17,2014-07-28,GKP1988,NY,8010600520.0,WH,2015-01-01 00:00:00,BMW,No Standing,14,0.0,177.0
18,2014-07-11,84T5494,TX,7888345608.0,GREEN,2014-01-01 00:00:00,GMC,No Stand (Com. Mtr. Zone),31,0.0,189.0
19,2014-07-07,26897ME,NY,7658102878.0,WH,2016-01-01 00:00:00,DODGE,No Standing,14,0.0,193.0
20,2014-07-08,GFG2881,NY,7133863881.0,BK,2015-01-01 00:00:00,ME/BE,No Parking (street clean),21,0.0,228.0
21,2014-07-25,GGA3607,NY,7993197405.0,GY,2016-01-01 00:00:00,VOLKS,No Standing,14,0.0,234.0
22,2014-07-22,8AHSX6,CT,7045028465.0,BLACK,2014-01-01 00:00:00,JEEP,No Stand (Com. Mtr. Zone),31,0.0,260.0
23,2014-07-28,DWF5385,NY,7577494434.0,GY,2014-01-01 00:00:00,PONTI,Insp Sticker Expired (NYS),71A,0.0,289.0
24,2014-07-29,T93DYL,NJ,8006806809.0,WHITE,8888-01-01 00:00:00,ME/BE,No Standing,14,0.0,297.0
25,2014-07-13,6L90B,NY,7618227093.0,YW,2015-01-01 00:00:00,FORD,No Stand (bus stop),19,0.0,347.0
26,2014-07-15,GEP7959,NY,7573191200.0,GY,2015-01-01 00:00:00,LEXUS,Failure to Display Muni Rec,38,0.0,380.0
27,2014-07-16,FAW5692,NY,7979911155.0,GY,2016-01-01 00:00:00,PONTI,No Parking (Non-COM),20A,0.0,381.0
28,2014-07-27,GMW8134,NY,7063796513.0,BL,2016-01-01 00:00:00,VOLKS,No Parking (Non-COM),20A,0.0,422.0
29,2014-07-14,62985JM,NY,7855130603.0,BROWN,8888-01-01 00:00:00,GMC,Failure to Disp Muni Recpt,69,0.0,430.0
