,Issue Date,Plate ID,Registration State,Summons Number,Vehicle Color,Vehicle Expiration Date,Vehicle Make,Violation Description,Violation code,alert,id_drone
0,2015-06-09,GKB7155,NY,8035700765.0,BR,2016-01-01 00:00:00,CHRYS,No Parking (street clean),21.0,0.0,32.0
1,2015-06-25,AN922T,NJ,7887951800.0,WHITE,8888-01-01 00:00:00,PETER,Platform lifts in low posit,84.0,0.0,102.0
2,2015-06-16,B47ENR,NJ,7029127857.0,RED,8888-01-01 00:00:00,JEEP,No Parking (Non-COM),20A,0.0,113.0
3,2015-06-21,GXX9973,NY,8024556108.0,BK,2017-01-01 00:00:00,ME/BE,Fire Hydrant,40,0.0,129.0
4,2015-06-22,AN306T,NJ,7980693826.0,WHITE,8888-01-01 00:00:00,NS/OT,Double PKG-Midtown,47,0.0,132.0
5,2015-06-29,2RL397,OK,7927555753.0,WHITE,8888-01-01 00:00:00,FORD,Fire Hydrant,40,0.0,143.0
6,2015-06-23,GJM7331,NY,8042811767.0,RD,2015-01-01 00:00:00,HONDA,No Standing,14,0.0,145.0
7,2015-06-01,5BNL532,CA,7909166874.0,RED,2015-01-01 00:00:00,VOLKS,No Parking (street clean),21,0.0,147.0
8,2015-06-20,T518319C,NY,7098650717.0,TN,2016-01-01 00:00:00,LINCO,Expired Muni Meter,37,0.0,150.0
9,2015-06-12,EGM2924,NY,8025260781.0,GY,2016-01-01 00:00:00,MITSU,No Parking (Non-COM),20A,0.0,157.0
10,2015-06-23,11452ME,NY,1354183642.0,WH,2017-01-01 00:00:00,FORD,,,0.0,164.0
11,2015-06-13,GSA1140,NY,8027757988.0,WH,2016-01-01 00:00:00,CHRYS,Insp. Sticker Missing (NYS,71,0.0,165.0
12,2015-06-23,1JC665,MA,8022926437.0,GREEN,2016-01-01 00:00:00,CHEVR,No Parking (street clean),21,0.0,169.0
13,2015-06-24,WBB45L,NJ,7968288265.0,WHITE,8888-01-01 00:00:00,LINCO,No Standing,14,0.0,186.0
14,2015-06-29,DYJ9977,NY,7713997660.0,WHITE,2017-01-01 00:00:00,FORD,Crosswalk,50,0.0,210.0
15,2015-06-19,GTC3018,NY,8013621443.0,SILVE,2016-01-01 00:00:00,HONDA,No Parking (street clean),21,0.0,223.0
16,2015-06-04,GUR5549,NY,8041703914.0,GR,2017-01-01 00:00:00,FORD,Fire Hydrant,40,0.0,224.0
17,2015-06-11,GEK9759,NY,7183564319.0,BLACK,2017-01-01 00:00:00,LINCO,No Parking (street clean),21,0.0,238.0
18,2015-06-06,T668612C,NY,1368695504.0,BK,2016-01-01 00:00:00,TOYOT,,,0.0,249.0
19,2015-06-16,60266JY,NY,8015682502.0,WH,2016-01-01 00:00:00,INTER,No Standing,14,0.0,257.0
20,2015-06-13,1958563,ME,7915742360.0,WHITE,2016-01-01 00:00:00,NS/OT,Detached Trailer,66,0.0,258.0
21,2015-06-11,EWN5608,NY,8046300172.0,GY,2016-01-01 00:00:00,TOYOT,No Parking (street clean),21,0.0,259.0
22,2015-06-15,ELC5456,NY,8046007018.0,GREY,2016-01-01 00:00:00,BMW,No Parking (street clean),21,0.0,273.0
23,2015-06-09,50040MC,NY,8026007633.0,WH,2016-01-01 00:00:00,CHEVR,Fire Hydrant,40,0.0,274.0
24,2015-06-15,44741JA,NY,7829591027.0,WHITE,2015-01-01 00:00:00,GMC,Failure to Disp Muni Recpt,69,0.0,277.0
25,2015-06-27,EPU1676,NY,7307968198.0,BL,2017-01-01 00:00:00,HONDA,No Parking (street clean),21,1.0,287.0
26,2015-06-20,559YJE,ID,7954229713.0,SILVE,8888-01-01 00:00:00,INFIN,Sidewalk,51,0.0,296.0
27,2015-06-08,EGA7421,NY,8017382406.0,GY,2016-01-01 00:00:00,HONDA,No Parking (street clean),21,0.0,298.0
28,2015-06-30,84251W,WI,7713884014.0,WHITE,2015-01-01 00:00:00,INTER,No Stand (bus stop),19,0.0,344.0
29,2015-06-20,876ZVA,CT,7097497075.0,BLACK,2015-01-01 00:00:00,TOYOT,Expired Muni Meter,37,0.0,352.0
30,2015-06-10,8KHC57,MI,7931443457.0,BLACK,2015-01-01 00:00:00,LINCO,No Parking (Non-COM),20A,0.0,386.0
31,2015-06-30,85027JW,NY,8027900840.0,WH,2017-01-01 00:00:00,CHEVR,No Parking (Com Plate),20,0.0,396.0
32,2015-06-04,47803MG,NY,7758799413.0,WH,2017-01-01 00:00:00,FRUEH,Nighttime PKG on Res Street,78,0.0,398.0
33,2015-06-06,DKT4456,NY,1382686481.0,GRY,2015-01-01 00:00:00,LEXUS,,,0.0,423.0
34,2015-06-06,GGF5116,NY,8035902740.0,WH,2017-01-01 00:00:00,ACURA,Fire Hydrant,40,0.0,424.0
35,2015-06-22,JFD0543,PA,7788796694.0,WHITE,2015-01-01 00:00:00,FORD,No Parking (street clean),21,0.0,431.0
36,2015-06-12,31197AV,NY,7858362586.0,WH,2016-01-01 00:00:00,FORD,No Standing,14,0.0,433.0
37,2015-06-11,048WSE,FL,1382830002.0,GREY,2015-01-01 00:00:00,TOYOT,,,0.0,437.0
38,2015-06-18,GXR9268,NY,7047842779.0,BK,2017-01-01 00:00:00,ME/BE,Improperly Displayed Plate,74A,0.0,446.0
39,2015-06-13,GKU9569,NY,1381932642.0,GY,2017-01-01 00:00:00,BUICK,,,0.0,451.0
40,2015-06-03,NENA92,NY,1377108478.0,GRAY,2016-01-01 00:00:00,ACURA,,,0.0,470.0
41,2015-06-11,GMH1085,NY,8017930744.0,BLACK,2016-01-01 00:00:00,ROVER,Expired Muni Meter,37,0.0,475.0
42,2015-06-01,FLL9439,NY,7003403481.0,BL,2017-01-01 00:00:00,MITSU,No Standing,14,0.0,477.0
43,2015-06-15,GXT7771,NY,7790785060.0,GY,2017-01-01 00:00:00,TOYOT,Expired Muni Meter,37,0.0,487.0
44,2015-06-13,E97FCW,NJ,8043600697.0,GREY,8888-01-01 00:00:00,MAZDA,Failure to Display Muni Rec,38,0.0,489.0
45,2015-06-02,AE04471,PA,8006996672.0,WHITE,2016-01-01 00:00:00,INTER,Failure to Display Muni Rec,38,0.0,495.0
46,2015-06-10,AP678Y,NJ,7854369392.0,WHITE,8888-01-01 00:00:00,INTER,No Stand (bus stop),19,0.0,498.0
47,2015-06-23,19860JT,NY,1385608675.0,BROWN,2015-01-01 00:00:00,MERCU,,,0.0,507.0
48,2015-06-22,GCF4407,NY,7665121342.0,RD,2016-01-01 00:00:00,INFIN,No Standing,14,0.0,524.0
49,2015-06-24,FYP7413,NY,7662663530.0,GY,2016-01-01 00:00:00,GMC,No Standing,14,0.0,525.0
50,2015-06-23,GDN1736,NY,7040632159.0,BLACK,2017-01-01 00:00:00,HONDA,Failure to Display Muni Rec,38,0.0,531.0
51,2015-06-04,13333PC,NY,1379175276.0,RED,2016-01-01 00:00:00,MERCU,,,0.0,536.0
52,2015-06-08,2196822,IN,8013848980.0,WHITE,2015-01-01 00:00:00,FRUEH,No Stand (bus stop),19,0.0,566.0
53,2015-06-23,EBZ6520,NY,7162279715.0,WHITE,2015-01-01 00:00:00,BUICK,Failure to Display Muni Rec,38,0.0,576.0
54,2015-06-23,GXR1832,NY,7980774826.0,GY,2017-01-01 00:00:00,BMW,Expired Muni Meter,37,0.0,577.0
