,Issue Date,Plate ID,Registration State,Summons Number,Vehicle Color,Vehicle Expiration Date,Vehicle Make,Violation Description,Violation code,alert,id_drone
0,2014-12-23,25X944,OK,7950697490.0,WHITE,2014-01-01 00:00:00,INTER,Double Parking (Com-100Ft),46B,0.0,30.0
1,2014-12-18,EYB8055,NY,7744281500.0,GY,2016-01-01 00:00:00,TOYOT,No Parking (street clean),21,0.0,34.0
2,2014-12-11,CME3770,NY,7557194007.0,GY,2015-01-01 00:00:00,SUBAR,Insp Sticker Expired (NYS),71A,1.0,47.0
3,2014-12-05,GRD8338,NY,8017257454.0,GY,2016-01-01 00:00:00,HONDA,No Parking (street clean),21,0.0,58.0
4,2014-12-19,87628MC,NY,7012261912.0,RD,2015-01-01 00:00:00,INTER,Fire Hydrant,40,0.0,69.0
5,2014-12-19,DT50359,AL,8007021619.0,BLACK,2015-01-01 00:00:00,ME/BE,No Parking (street clean),21,0.0,70.0
6,2014-12-05,DLM5398,NY,7988181105.0,WH,2015-01-01 00:00:00,HONDA,No Parking (street clean),21,0.0,71.0
7,2014-12-24,AM871N,NJ,7715546963.0,GREEN,8888-01-01 00:00:00,INTER,No Standing,14,0.0,75.0
8,2014-12-16,GFL2098,NY,7322394872.0,GY,2015-01-01 00:00:00,ME/BE,No Parking (street clean),21,0.0,81.0
9,2014-12-10,EBF1693,NY,7487409983.0,SILVE,2016-01-01 00:00:00,ACURA,Failure to Display Muni Rec,38,0.0,82.0
10,2014-12-25,GTJ3754,NY,7691548266.0,BL,2016-01-01 00:00:00,BMW,Insp. Sticker Missing (NYS,71,0.0,99.0
11,2014-12-05,JCL1966,PA,7737910621.0,GREY,2014-01-01 00:00:00,INFIN,No Parking (street clean),21,0.0,105.0
12,2014-12-06,EEV1682,NY,7613059390.0,SILVE,2015-01-01 00:00:00,HONDA,Failure to Display Muni Rec,38,0.0,120.0
13,2014-12-17,75467MC,NY,7053450260.0,WH,2014-01-01 00:00:00,MITSU,Double PKG-Midtown,47,0.0,137.0
14,2014-12-20,AXW8175,GA,7359162294.0,GREY,2014-01-01 00:00:00,HONDA,Failure to Display Muni Rec,38,0.0,146.0
15,2014-12-18,GTR8180,NY,7739161421.0,GY,2016-01-01 00:00:00,SMART,No Parking (street clean),21,0.0,185.0
16,2014-12-18,42745JZ,NY,7291923074.0,WHITE,8888-01-01 00:00:00,UTIL,Failure to Display Muni Rec,38,0.0,211.0
17,2014-12-06,P316XN,NY,7687075663.0,BLUE,2014-01-01 00:00:00,HYUND,No Parking (street clean),21,0.0,231.0
18,2014-12-11,FXG1405,NY,1377624500.0,BLUE,2016-01-01 00:00:00,JEEP,,,0.0,243.0
19,2014-12-10,XCDV20,NJ,8018101103.0,BLACK,8888-01-01 00:00:00,SUZUK,No Stand (Com. Mtr. Zone),31,0.0,247.0
20,2014-12-16,DRG4118,NY,7559905602.0,GY,2016-01-01 00:00:00,TOYOT,Insp Sticker Expired (NYS),71A,0.0,263.0
21,2014-12-30,JLM6347,PA,7620460573.0,GREY,2014-01-01 00:00:00,HYUND,Fire Hydrant,40,0.0,265.0
22,2014-12-30,JLM6347,PA,7620460573.0,GREY,2014-01-01 00:00:00,HYUND,Fire Hydrant,40,0.0,266.0
23,2014-12-06,62976JM,NY,7795962671.0,BROWN,8888-01-01 00:00:00,INTER,No Standing,14,0.0,272.0
24,2014-12-17,DLZ5295,PA,7115011096.0,GREY,2015-01-01 00:00:00,TOYOT,No Stand (Com. Mtr. Zone),31,0.0,275.0
25,2014-12-15,FAM9241,NY,7751536111.0,BK,2016-01-01 00:00:00,ME/BE,No Standing,14,0.0,290.0
26,2014-12-05,A83VLJ,FL,8000199178.0,SILVE,2004-01-01 00:00:00,HYUND,No Parking (street clean),21,0.0,294.0
27,2014-12-19,41655JM,NY,7390753456.0,WHITE,8888-01-01 00:00:00,CHEVR,Double PKG-Midtown,47,0.0,331.0
28,2014-12-05,XAHT15,NJ,7951984966.0,WHITE,2014-01-01 00:00:00,FORD,Expired Muni Meter,37,0.0,358.0
29,2014-12-13,GMD9390,NY,8012826355.0,GY,2015-01-01 00:00:00,TOYOT,Failure to Display Muni Rec,38,0.0,373.0
30,2014-12-14,684ZBG,CT,8015911990.0,BROWN,2014-01-01 00:00:00,NISSA,No Parking (Non-COM),20A,0.0,376.0
31,2014-12-20,41825JX,NY,7187173015.0,BROWN,8888-01-01 00:00:00,WORKH,Safety Zone,53,0.0,395.0
