,Issue Date,Plate ID,Registration State,Summons Number,Vehicle Color,Vehicle Expiration Date,Vehicle Make,Violation Description,Violation code,alert,id_drone
0,2015-03-06,5298MD,NY,8015318440.0,BROWN,8888-01-01 00:00:00,FRUEH,No Standing,14.0,0.0,1.0
1,2015-03-26,58359MD,NY,7054223901.0,BL,2015-01-01 00:00:00,FORD,Exp. Muni-Mtr (Com. Mtr. Z),42.0,0.0,21.0
2,2015-03-11,G78DLL,NJ,7097098715.0,GREY,8888-01-01 00:00:00,BMW,Failure to Display Muni Rec,38.0,0.0,25.0
3,2015-03-11,HS8919,NJ,7253931865.0,SILVE,8888-01-01 00:00:00,FORD,Failure to Display Muni Rec,38.0,0.0,79.0
4,2015-03-09,2119313,IN,7060593627.0,WHITE,8888-01-01 00:00:00,FRUEH,Platform lifts in low posit,84.0,0.0,95.0
5,2015-03-11,DWE1387,NY,8024851064.0,BK,2016-01-01 00:00:00,BMW,Expired Muni Meter,37.0,0.0,107.0
6,2015-03-25,66111JW,NY,7662244076.0,BROWN,8888-01-01 00:00:00,WORKH,Sidewalk,51.0,0.0,109.0
7,2015-03-30,S81ATV,NJ,8028903850.0,BLACK,8888-01-01 00:00:00,TOYOT,Improperly Displayed Plate,74A,0.0,114.0
8,2015-03-12,62632JD,NY,7929472590.0,RED,2015-01-01 00:00:00,INTER,Double Parking (Com-100Ft),46B,0.0,141.0
9,2015-03-13,GFD5936,NY,8017312052.0,TN,2015-01-01 00:00:00,TOYOT,Reg. Sticker Expired (NYS),70A,0.0,156.0
10,2015-03-12,ACD3800,NY,7662640474.0,BLACK,2015-01-01 00:00:00,NISSA,Double Parking (Non-COM),46A,0.0,167.0
11,2015-03-11,188WEU,CT,7889171055.0,OTHER,8888-01-01 00:00:00,SUZUK,No Stand (Com. Mtr. Zone),31,0.0,173.0
12,2015-03-04,GVK7857,NY,7089578320.0,BLUE,8888-01-01 00:00:00,BMW,Reg. Sticker Missing (NYS),70,0.0,174.0
13,2015-03-08,GPP8080,99,1377311818.0,SILVE,2015-01-01 00:00:00,MITSU,,,0.0,196.0
14,2015-03-07,23120MG,NY,1379072736.0,WHITE,2016-01-01 00:00:00,MJ/FY,,,0.0,197.0
15,2015-03-05,42866JM,NY,7307948242.0,BROWN,8888-01-01 00:00:00,INFIN,Expired Muni Meter,37,0.0,198.0
16,2015-03-06,GTN7364,NY,8000931424.0,GY,2016-01-01 00:00:00,HONDA,Fire Hydrant,40,0.0,203.0
17,2015-03-16,TRC11,NY,7610989060.0,WH,2016-01-01 00:00:00,CHEVR,Exp. Muni-Mtr (Com. Mtr. Z),42,0.0,214.0
18,2015-03-30,FZM1408,NY,8024520813.0,BK,2016-01-01 00:00:00,CHEVR,Failure to Display Muni Rec,38,0.0,219.0
19,2015-03-11,FHN4516,NY,8011110550.0,BK,2015-01-01 00:00:00,ME/BE,Failure to Display Muni Rec,38,0.0,232.0
20,2015-03-10,OXZ6251,NJ,8013770783.0,WHITE,8888-01-01 00:00:00,NS/OT,No Intercity Pmt Displ,01,1.0,244.0
21,2015-03-16,11723MC,NY,8028205410.0,WH,2016-01-01 00:00:00,ISUZU,Double PKG-Midtown,47,0.0,248.0
22,2015-03-07,W201650C,NY,7980229782.0,BLACK,2015-01-01 00:00:00,FORD,Double Parking (Non-COM),46A,0.0,268.0
23,2015-03-11,JTM8330,PA,7577981011.0,GREY,2015-01-01 00:00:00,DODGE,No Standing,14,0.0,295.0
24,2015-03-11,GWF8768,NY,8022066254.0,RED,2015-01-01 00:00:00,CHRYS,No Parking (street clean),21,0.0,304.0
25,2015-03-16,HRP9447,PA,8017566244.0,GREY,2014-01-01 00:00:00,HONDA,Failure to Display Muni Rec,38,0.0,308.0
26,2015-03-31,18017MB,NY,8002359495.0,WH,2016-01-01 00:00:00,WO/C,Failure to Display Muni Rec,38,0.0,326.0
27,2015-03-30,DY7092,DC,8020827833.0,BLACK,2015-01-01 00:00:00,VOLKS,No Standing,14,0.0,370.0
28,2015-03-23,YPE46L,NJ,8007288727.0,BLACK,8888-01-01 00:00:00,TOYOT,Failure to Display Muni Rec,38,0.0,391.0
29,2015-03-09,EMB9488,NY,8017965450.0,GY,2016-01-01 00:00:00,SUBAR,Fire Hydrant,40,0.0,393.0
30,2015-03-25,FYC8013,NY,7706758230.0,WH,2016-01-01 00:00:00,BMW,No Parking (street clean),21,0.0,397.0
31,2015-03-16,GUW9545,NY,8022307713.0,YW,2015-01-01 00:00:00,DODGE,Improperly Displayed Plate,74A,0.0,407.0
32,2015-03-17,XBFC41,NJ,7628662766.0,GREY,8888-01-01 00:00:00,TOYOT,Expired Muni Meter,37,0.0,410.0
33,2015-03-20,33724PC,NY,7428334640.0,WHITE,2015-01-01 00:00:00,HINO,Platform lifts in low posit,84,0.0,413.0
34,2015-03-27,EFF7947,NY,8026220614.0,BK,2016-01-01 00:00:00,TOYOT,Expired Muni Meter,37,0.0,490.0
35,2015-03-17,41951JX,NY,7090490683.0,BROWN,8888-01-01 00:00:00,WORKH,No Stand (bus stop),19,0.0,500.0
36,2015-03-21,GRZ8683,NY,7309964550.0,BK,2016-01-01 00:00:00,INFIN,Expired Muni Meter,37,0.0,510.0
37,2015-03-29,GVD6854,NY,7448776680.0,GL,2017-01-01 00:00:00,ME/BE,Insp. Sticker Missing (NYS,71,0.0,513.0
38,2015-03-09,GBV3784,NY,8008889275.0,GY,2016-01-01 00:00:00,NISSA,No Parking (street clean),21,0.0,538.0
39,2015-03-12,GLV9789,NY,7187183896.0,BK,2015-01-01 00:00:00,TOYOT,Failure to Display Muni Rec,38,0.0,546.0
40,2015-03-09,82396MD,NY,7908792042.0,WH,2016-01-01 00:00:00,FORD,Sidewalk,51,0.0,552.0
41,2015-03-11,21052JP,NY,7574679289.0,BLUE,2015-01-01 00:00:00,FORD,No Std (Com Veh) Com Plate,16,0.0,560.0
42,2015-03-14,ITABFY,PA,7097098910.0,WHITE,2016-01-01 00:00:00,KIA,Failure to Display Muni Rec,38,1.0,561.0
43,2015-03-06,JPB0434,PA,1381076385.0,GY,2015-01-01 00:00:00,HONDA,,,0.0,564.0
44,2015-03-06,FZA4494,NY,7513518348.0,BK,2016-01-01 00:00:00,FORD,No Standing,14,0.0,579.0
45,2015-03-24,0LMTC254,NJ,8029961753.0,BLACK,8888-01-01 00:00:00,CHEVR,No Standing,14,0.0,584.0
46,2015-03-18,4XEF528,CA,7071890055.0,WHITE,2015-01-01 00:00:00,NISSA,No Parking (street clean),21,1.0,594.0
47,2015-03-13,2314816,ME,1381450696.0,GRAY,2023-01-01 00:00:00,BMW,,,0.0,611.0
48,2015-03-31,EBP4349,NY,7732393739.0,GY,2015-01-01 00:00:00,JEEP,Reg. Sticker Expired (NYS),70A,0.0,642.0
49,2015-03-02,DUE7221,NY,8003370711.0,WH,2017-01-01 00:00:00,HONDA,Failure to Display Muni Rec,38,0.0,650.0
50,2015-03-16,GMU1930,NY,1381533486.0,BLACK,2016-01-01 00:00:00,CHEVR,,,0.0,666.0
51,2015-03-11,GEH5618,NY,7169559602.0,BR,2015-01-01 00:00:00,INFIN,Reg. Sticker Expired (NYS),70A,0.0,673.0
52,2015-03-14,GVG9544,NY,7709172441.0,GREY,2015-01-01 00:00:00,VOLKS,Reg. Sticker Expired (NYS),70A,0.0,679.0
53,2015-03-26,CPC7155,NY,7516322519.0,BK,2015-01-01 00:00:00,LINCO,No Parking (street clean),21,0.0,685.0
54,2015-03-24,W13EDB,NJ,7621052211.0,SILVE,8888-01-01 00:00:00,CHEVR,Expired Muni Meter,37,0.0,719.0
55,2015-03-14,23996PC,NY,7182340926.0,WHITE,2015-01-01 00:00:00,HINO,Failure to Display Muni Rec,38,0.0,729.0
56,2015-03-27,OYA4921,NJ,7924499891.0,WHITE,8888-01-01 00:00:00,FRUEH,Unauth passenger pick-up,03,0.0,735.0
57,2015-03-20,T609941C,NY,7448775121.0,WHITE,2015-01-01 00:00:00,FORD,Covered Plate,74B,0.0,745.0
58,2015-03-25,ANULEAF,NY,7657803253.0,GR,2017-01-01 00:00:00,MAZDA,No Parking (street clean),21,0.0,746.0
59,2015-03-07,2M60B,NY,8016984150.0,YW,2015-01-01 00:00:00,TOYOT,Fire Hydrant,40,0.0,750.0
60,2015-03-19,FRJ5798,NY,7018557320.0,BK,2015-01-01 00:00:00,JEEP,Failure to Display Muni Rec,38,0.0,752.0
61,2015-03-06,EVV3067,NY,7071296777.0,GL,2015-01-01 00:00:00,SUBAR,Insp Sticker Expired (NYS),71A,0.0,761.0
62,2015-03-03,GST2694,NY,7975954858.0,GREEN,8888-01-01 00:00:00,JEEP,No Parking (street clean),21,0.0,764.0
63,2015-03-19,20223JY,NY,7426351658.0,WH,2016-01-01 00:00:00,ISUZU,Crosswalk,50,0.0,810.0
64,2015-03-28,GTM7058,NY,7151169747.0,GREY,2016-01-01 00:00:00,HONDA,Failure to Display Muni Rec,38,0.0,812.0
65,2015-03-13,YXJ15T,NJ,1376457880.0,GY,2016-01-01 00:00:00,ME/BE,,,0.0,819.0
66,2015-03-10,49038JB,NY,7076132114.0,SILVE,2017-01-01 00:00:00,FORD,Expired Muni Meter,37,0.0,831.0
67,2015-03-16,XV541D,NJ,7921838558.0,WHITE,2015-01-01 00:00:00,DODGE,No Stand (exc hotel load),11,0.0,841.0
68,2015-03-28,36802MG,NY,1381446966.0,WH,2015-01-01 00:00:00,KENWO,,,0.0,870.0
69,2015-03-20,140LEV,CT,8012535129.0,OTHER,2015-01-01 00:00:00,TOYOT,No Parking (street clean),21,0.0,872.0
70,2015-03-03,5AMGE0,CT,7353569669.0,WHITE,2015-01-01 00:00:00,CADIL,No Parking (street clean),21,0.0,874.0
71,2015-03-04,616MV2,MA,7096484097.0,BLACK,2017-01-01 00:00:00,TOYOT,No Parking (Non-COM),20A,0.0,881.0
72,2015-03-25,GVC2736,NY,7327936087.0,GR,2017-01-01 00:00:00,JEEP,Fire Hydrant,40,0.0,895.0
73,2015-03-19,FVT3643,NY,7084191689.0,WHITE,8888-01-01 00:00:00,LEXUS,Reg. Sticker Missing (NYS),70,0.0,908.0
74,2015-03-27,GAR6367,NY,8035454171.0,GR,2016-01-01 00:00:00,INFIN,Fire Hydrant,40,0.0,915.0
75,2015-03-01,DCT9622,NY,7481974974.0,GY,2015-01-01 00:00:00,ME/BE,Insp Sticker Expired (NYS),71A,0.0,940.0
76,2015-03-11,GMB1621,NY,1381507104.0,GRY,2016-01-01 00:00:00,VOLKS,,,0.0,941.0
77,2015-03-28,USP63B,NJ,8031717023.0,GREY,8888-01-01 00:00:00,ROVER,No Standing,14,0.0,946.0
78,2015-03-24,AF83728,PA,7950712405.0,WHITE,2015-01-01 00:00:00,MACK,Double Parking (Com-100Ft),46B,0.0,1000.0
79,2015-03-31,GSK6828,NY,8030821566.0,GY,2016-01-01 00:00:00,VOLVO,No Parking (street clean),21,0.0,1008.0
80,2015-03-27,T397824,WV,8007397310.0,BLACK,8888-01-01 00:00:00,NS/OT,Detached Trailer,66,0.0,1012.0
81,2015-03-09,AWX2504,NY,7719043868.0,GY,2015-01-01 00:00:00,SUBAR,No Parking (street clean),21,0.0,1015.0
