,Issue Date,Plate ID,Registration State,Summons Number,Vehicle Color,Vehicle Expiration Date,Vehicle Make,Violation Description,Violation code,alert,id_drone
0,2015-02-17,CXT8949,TX,7002571382.0,WHITE,8888-01-01 00:00:00,MAZDA,No Parking (Non-COM),20A,0.0,11.0
1,2015-02-24,GAR6688,NY,8023905028.0,TN,2016-01-01 00:00:00,MAZDA,No Parking (Non-COM),20A,0.0,27.0
2,2015-02-12,18580MG,NY,8007539610.0,WH,2015-01-01 00:00:00,UD,Failure to Display Muni Rec,38,0.0,89.0
3,2015-02-06,GVV2441,NY,7440791903.0,BK,2017-01-01 00:00:00,HONDA,Failure to Display Muni Rec,38,0.0,101.0
4,2015-02-26,986ZGB,CT,7381691012.0,SILVE,2015-01-01 00:00:00,CHEVR,Failure to Display Muni Rec,38,0.0,112.0
5,2015-02-15,CPF6528,NY,7818597608.0,BK,2015-01-01 00:00:00,NISSA,No Stand (exc auth veh),17,0.0,118.0
6,2015-02-06,FPE8144,NY,1377566353.0,GRAY,2015-01-01 00:00:00,HYUND,,,0.0,127.0
7,2015-02-23,21704MG,NY,7546356799.0,WHITE,2016-01-01 00:00:00,KENWO,Failure to Display Muni Rec,38,0.0,148.0
8,2015-02-26,DPK4617,NY,7001084840.0,GY,2016-01-01 00:00:00,SUBAR,Failure to Display Muni Rec,38,0.0,170.0
9,2015-02-12,GPH9261,NY,7144108852.0,WH,2016-01-01 00:00:00,HONDA,Failure to Display Muni Rec,38,0.0,190.0
10,2015-02-13,F47CPR,NJ,8017762446.0,BLUE,8888-01-01 00:00:00,AUDI,Double Parking (Non-COM),46A,0.0,204.0
11,2015-02-14,GST1044,NY,1379312267.0,WHITE,2016-01-01 00:00:00,CHEVR,,,0.0,212.0
12,2015-02-11,EPH1959,NY,8006125521.0,GY,2015-01-01 00:00:00,AUDI,Expired Muni Meter,37,0.0,226.0
13,2015-02-04,19122ME,NY,7921831230.0,WHITE,2016-01-01 00:00:00,ME/BE,Double Parking (Com-100Ft),46B,0.0,233.0
14,2015-02-25,WILDLIFE,NY,8023517788.0,WHITE,2016-01-01 00:00:00,BUICK,Failure to Display Muni Rec,38,0.0,241.0
15,2015-02-07,XBXZ56,NJ,7895995923.0,WHITE,2015-01-01 00:00:00,NS/OT,No Standing,14,0.0,250.0
16,2015-02-07,T632467C,NY,7734643395.0,BLACK,2015-01-01 00:00:00,TOYOT,Insp Sticker Expired (NYS),71A,0.0,256.0
17,2015-02-11,FSW8153,NY,1379435730.0,BLACK,2015-01-01 00:00:00,FORD,,,0.0,271.0
18,2015-02-06,79648JV,NY,7345472231.0,BROWN,8888-01-01 00:00:00,FRUEH,No Standing,14,0.0,281.0
19,2015-02-28,GRD2932,NY,7020577465.0,GY,2016-01-01 00:00:00,NISSA,Insp Sticker Expired (NYS),71A,0.0,288.0
20,2015-02-05,GZM8302,PA,8008246972.0,GOLD,2015-01-01 00:00:00,TOYOT,No Standing,14,0.0,307.0
21,2015-02-03,651B1W,MI,7982395491.0,WHITE,2015-01-01 00:00:00,INTER,No Stopping,10,0.0,314.0
22,2015-02-15,DUZ9250,NY,7441196024.0,GY,2016-01-01 00:00:00,ACURA,No Stand (bus stop),19,0.0,327.0
23,2015-02-10,37164MD,NY,7861455567.0,WH,2015-01-01 00:00:00,HINO,Double PKG-Midtown,47,0.0,350.0
24,2015-02-28,573NIV,FL,7463999737.0,RED,2015-01-01 00:00:00,VOLKS,Overtime PKG-Time Limt Post,39,0.0,368.0
25,2015-02-03,287FW5,MA,8022051652.0,BLACK,2016-01-01 00:00:00,FORD,No Standing,14,0.0,369.0
26,2015-02-10,T460995C,NY,8005123188.0,BK,2015-01-01 00:00:00,LINCO,No Parking (Non-COM),20A,0.0,406.0
27,2015-02-25,E50EHL,NJ,7907418732.0,GREY,8888-01-01 00:00:00,KIA,No Standing,14,0.0,415.0
28,2015-02-16,88123,NY,7473475680.0,WH,2016-01-01 00:00:00,BMW,Failure to Display Muni Rec,38,0.0,421.0
29,2015-02-12,32858ME,NY,7734644326.0,BLUE,2016-01-01 00:00:00,GMC,Failure to Display Muni Rec,38,0.0,432.0
30,2015-02-23,84067JW,NY,8031202280.0,WH,2015-01-01 00:00:00,DODGE,No Parking (Com Plate),20,0.0,442.0
31,2015-02-20,GMZ7741,NY,8015169203.0,GY,2016-01-01 00:00:00,HONDA,No Parking (Non-COM),20A,0.0,452.0
32,2015-02-26,AN917T,NJ,7893995233.0,WHITE,8888-01-01 00:00:00,PETER,Platform lifts in low posit,84,0.0,483.0
