,Issue Date,Plate ID,Registration State,Summons Number,Vehicle Color,Vehicle Expiration Date,Vehicle Make,Violation Description,Violation code,alert,id_drone
0,2014-11-20,JJF6834,PA,7704791394.0,WHITE,2015-01-01 00:00:00,NISSA,No Parking (street clean),21.0,0.0,5.0
1,2014-11-19,GKP6078,NY,7787591079.0,GL,2015-01-01 00:00:00,CHRYS,No Parking (Non-COM),20A,0.0,26.0
2,2014-11-14,M80ANH,NJ,7359154236.0,RED,8888-01-01 00:00:00,ACURA,Expired Muni Meter,37,0.0,29.0
3,2014-11-29,JFS9782,PA,7665067440.0,WHITE,2015-01-01 00:00:00,AUDI,Failure to Display Muni Rec,38,0.0,43.0
4,2014-11-24,55065MB,NY,8005280350.0,BROWN,8888-01-01 00:00:00,WORKH,Failure to Disp Muni Recpt,69,0.0,49.0
5,2014-11-21,GKZ9055,NY,7578730459.0,WH,2016-01-01 00:00:00,ACURA,No Parking (street clean),21,0.0,62.0
6,2014-11-04,ETU5293,NY,7211165765.0,BK,2015-01-01 00:00:00,LEXUS,Failure to Display Muni Rec,38,0.0,65.0
7,2014-11-18,AP580Z,NJ,7985378662.0,WHITE,8888-01-01 00:00:00,FRUEH,Platform lifts in low posit,84,1.0,72.0
8,2014-11-24,FYK4168,NY,7969133666.0,WH,2016-01-01 00:00:00,TOYOT,Failure to Display Muni Rec,38,0.0,74.0
9,2014-11-28,61508MC,NY,8007812362.0,WH,2015-01-01 00:00:00,FORD,Expired Muni Meter,37,0.0,91.0
10,2014-11-10,ETP8135,NY,1378109041.0,WH,2015-01-01 00:00:00,NISSA,,,0.0,92.0
11,2014-11-21,52732MC,NY,7800337388.0,BK,2015-01-01 00:00:00,JEEP,Unaltered Commerc Vehicle,82,0.0,97.0
12,2014-11-20,T621450C,NY,1368841090.0,BK,2015-01-01 00:00:00,CHEVR,,,0.0,98.0
13,2014-11-10,ADD7203,NY,1372046290.0,GY,2015-01-01 00:00:00,HONDA,,,0.0,117.0
14,2014-11-26,JSM5749,PA,7008624748.0,BLUE,2014-01-01 00:00:00,VOLVO,Fire Hydrant,40,0.0,119.0
15,2014-11-25,BZA3074,NY,8001662895.0,BK,2016-01-01 00:00:00,CHRYS,No Std (Com Veh) Non-COM,16A,0.0,125.0
16,2014-11-17,AF851U,NJ,7820799067.0,OTHER,8888-01-01 00:00:00,MACK,No Standing,14,0.0,140.0
17,2014-11-10,67764JR,NY,7950691475.0,WHITE,2014-01-01 00:00:00,INTER,Failure to Display Muni Rec,38,0.0,166.0
18,2014-11-21,DEB6195,NY,7265948488.0,BK,2016-01-01 00:00:00,HUMME,Missing Display Plate,74,0.0,182.0
19,2014-11-18,FFW3299,NY,7121122248.0,RD,2016-01-01 00:00:00,ACURA,Insp Sticker Expired (NYS),71A,0.0,188.0
20,2014-11-11,GJY9922,NY,8006215510.0,BR,2015-01-01 00:00:00,TOYOT,Insp Sticker Expired (NYS),71A,0.0,213.0
21,2014-11-19,12855JY,NY,7001069656.0,WHITE,8888-01-01 00:00:00,GMC,Failure to Display Muni Rec,38,0.0,246.0
22,2014-11-03,KK582B,MD,7510349539.0,WHITE,2014-01-01 00:00:00,VOLKS,No Parking (street clean),21,0.0,305.0
23,2014-11-26,GRS8571,NY,7253926912.0,GY,2015-01-01 00:00:00,KIA,Expired Muni Meter,37,0.0,313.0
24,2014-11-11,DGB7560,NY,7213465983.0,BLACK,2015-01-01 00:00:00,TOYOT,Failure to Display Muni Rec,38,0.0,325.0
25,2014-11-07,YXD1245,PA,8001238106.0,BROWN,2014-01-01 00:00:00,CHEVR,No Parking (Com Plate),20,0.0,339.0
26,2014-11-03,M23CNC,NJ,7513502330.0,BLACK,8888-01-01 00:00:00,SUBAR,No Stand (bus stop),19,0.0,343.0
27,2014-11-07,19860PC,NY,7504767955.0,GREY,2015-01-01 00:00:00,MACK,Wrong Way,61,0.0,351.0
28,2014-11-18,FMS8177,NY,8007126922.0,GY,2015-01-01 00:00:00,NISSA,No Parking (street clean),21,0.0,359.0
29,2014-11-03,FXD1609,NY,7981061910.0,RED,2016-01-01 00:00:00,FORD,No Parking (street clean),21,0.0,367.0
30,2014-11-11,FSL1912,NY,7310199236.0,BK,2016-01-01 00:00:00,ME/BE,Failure to Display Muni Rec,38,0.0,388.0
31,2014-11-13,GLS6841,NY,7104784251.0,WH,2015-01-01 00:00:00,INFIN,No Parking (street clean),21,0.0,445.0
32,2014-11-14,GEL1405,NY,7744271014.0,RD,2016-01-01 00:00:00,HONDA,No Stand (bus stop),19,0.0,453.0
33,2014-11-08,FVN1449,OH,7783966410.0,BLACK,2015-01-01 00:00:00,TOYOT,No Parking (street clean),21,0.0,463.0
34,2014-11-25,FPP8200,NY,7752324206.0,WH,2015-01-01 00:00:00,LEXUS,Failure to Display Muni Rec,38,0.0,465.0
35,2014-11-10,61249MC,NY,8015953261.0,WHITE,8888-01-01 00:00:00,FORD,Failure to Display Muni Rec,38,0.0,471.0
36,2014-11-29,GKJ5549,NY,7501868852.0,BL,2015-01-01 00:00:00,BMW,No Parking (Non-COM),20A,0.0,485.0
37,2014-11-15,FAL6868,NY,7072799722.0,BK,2016-01-01 00:00:00,HONDA,No Parking (street clean),21,0.0,491.0
38,2014-11-17,73773MD,NY,7659725439.0,WH,2016-01-01 00:00:00,ISUZU,No Parking (street clean),21,0.0,529.0
39,2014-11-09,PQL6942,GA,1377173756.0,GY,2015-01-01 00:00:00,ME/BE,,,0.0,530.0
40,2014-11-18,90243,NY,8007271259.0,RD,2015-01-01 00:00:00,NISSA,Failure to Display Muni Rec,38,0.0,541.0
41,2014-11-14,C77EKB,NJ,7750337052.0,BLACK,8888-01-01 00:00:00,BMW,Failure to Display Muni Rec,38,0.0,585.0
42,2014-11-25,33864JU,NY,1376600493.0,WT,8888-01-01 00:00:00,CHEVR,,,0.0,595.0
43,2014-11-10,BKE1324,NY,7700378241.0,SILVE,2016-01-01 00:00:00,TOYOT,No Parking (Non-COM),20A,0.0,627.0
44,2014-11-12,GRV7669,NY,7656357245.0,BL,2016-01-01 00:00:00,NISSA,Expired Muni Meter,37,0.0,629.0
45,2014-11-24,GKG3469,NY,8015608077.0,BL,2015-01-01 00:00:00,VOLVO,No Parking (street clean),21,0.0,655.0
46,2014-11-13,AM103V,NJ,7349588276.0,WHITE,8888-01-01 00:00:00,MITSU,No Stand (taxi stand),13,0.0,671.0
47,2014-11-01,GJU3843,NY,7071133852.0,GY,2015-01-01 00:00:00,INFIN,Expired Muni Meter,37,0.0,672.0
48,2014-11-07,AP579P,NJ,7884166665.0,WHITE,8888-01-01 00:00:00,HINO,No Standing,14,0.0,696.0
49,2014-11-28,CWU2521,NY,7432721063.0,RED,2016-01-01 00:00:00,NISSA,No Stand (bus stop),19,0.0,703.0
50,2014-11-05,GAB6313,NY,7166271838.0,LT/,2016-01-01 00:00:00,DODGE,Expired Muni Meter,37,0.0,783.0
51,2014-11-05,92112JW,NY,7097273446.0,WHITE,2015-01-01 00:00:00,CHEVR,Expired Muni Meter,37,0.0,798.0
