,Issue Date,Plate ID,Registration State,Summons Number,Vehicle Color,Vehicle Expiration Date,Vehicle Make,Violation Description,Violation code,alert,id_drone
0,2015-04-13,GWE1987,NY,7445908067.0,GY,2017-01-01 00:00:00,LEXUS,No Stand (bus stop),19.0,0.0,3.0
1,2015-04-07,96313JE,NY,8021902164.0,WH,2015-01-01 00:00:00,ISUZU,Double Parking (Com-100Ft),46B,0.0,35.0
2,2015-04-02,GMW4217,NY,7006635950.0,BLACK,2016-01-01 00:00:00,ME/BE,Insp Sticker Expired (NYS),71A,0.0,68.0
3,2015-04-21,FZL8838,NY,7322602833.0,BLACK,8888-01-01 00:00:00,NS/OT,No Parking (street clean),21,0.0,78.0
4,2015-04-13,E64EAK,NJ,7390770430.0,SILVE,8888-01-01 00:00:00,HONDA,Expired Muni Meter,37,0.0,124.0
5,2015-04-29,GFK6412,NY,7992686664.0,GY,2017-01-01 00:00:00,NISSA,Insp Sticker Expired (NYS),71A,0.0,171.0
6,2015-04-30,GSN3439,NY,7092099663.0,GY,2016-01-01 00:00:00,MERCU,No Parking (street clean),21,0.0,180.0
7,2015-04-01,GRZ9937,NY,8002298925.0,GR,2016-01-01 00:00:00,NISSA,Insp Sticker Expired (NYS),71A,0.0,207.0
8,2015-04-06,GKP6099,NY,7134344770.0,BK,2016-01-01 00:00:00,NISSA,Failure to Display Muni Rec,38,0.0,217.0
9,2015-04-13,GST3621,NY,7728312510.0,SILVE,2016-01-01 00:00:00,HONDA,Double Parking (Non-COM),46A,0.0,225.0
10,2015-04-16,T662614C,NY,7856363423.0,GY,2015-01-01 00:00:00,TOYOT,No Parking (Non-COM),20A,0.0,254.0
11,2015-04-09,87668MC,NY,7908799978.0,GY,2016-01-01 00:00:00,TOYOT,No Stand (Com. Mtr. Zone),31,0.0,283.0
12,2015-04-04,CVK4131,NY,7103532199.0,GY,2016-01-01 00:00:00,DODGE,Failure to Display Muni Rec,38,0.0,285.0
13,2015-04-07,13026JY,NY,8015667458.0,WHITE,8888-01-01 00:00:00,GMC,No Standing,14,0.0,310.0
14,2015-04-22,AH213R,NJ,8031556349.0,WHITE,8888-01-01 00:00:00,MACK,Blocking Ped. Ramp,67,0.0,311.0
15,2015-04-15,16157MC,NY,7882355409.0,WHITE,8888-01-01 00:00:00,CHEVR,Failure to Disp Muni Recpt,69,0.0,312.0
16,2015-04-21,GVL6702,NY,7706979374.0,BL,2017-01-01 00:00:00,CHRYS,Obstructing Driveway,98,0.0,315.0
17,2015-04-03,2197027,IN,7926371038.0,WHITE,8888-01-01 00:00:00,HINO,Platform lifts in low posit,84,0.0,316.0
18,2015-04-24,FJA3041,NY,7706980145.0,BK,2016-01-01 00:00:00,INFIN,Failure to Display Muni Rec,38,0.0,338.0
19,2015-04-29,GFR2116,NY,8026067162.0,GL,2015-01-01 00:00:00,CHEVR,Reg. Sticker Expired (NYS),70A,0.0,349.0
20,2015-04-11,FWG1552,NY,8024110246.0,WHITE,2015-01-01 00:00:00,ME/BE,Expired Muni Meter,37,0.0,355.0
21,2015-04-28,T665434C,NY,7443564995.0,BK,2015-01-01 00:00:00,HONDA,No Parking (street clean),21,0.0,365.0
