,Issue Date,Plate ID,Registration State,Summons Number,Vehicle Color,Vehicle Expiration Date,Vehicle Make,Violation Description,Violation code,alert,id_drone
0,2015-05-19,T671196C,NY,7037692864.0,BLACK,8888-01-01 00:00:00,CHRYS,No Stand (bus stop),19.0,0.0,4.0
1,2015-05-05,GSR4914,NY,7939966900.0,SILVE,2016-01-01 00:00:00,DODGE,No Parking (Non-COM),20A,0.0,12.0
2,2015-05-26,33451MB,NY,7468795666.0,RED,2016-01-01 00:00:00,FORD,No Parking (street clean),21,0.0,42.0
3,2015-05-30,GXM6310,NY,8035751074.0,BK,2017-01-01 00:00:00,SUBAR,Expired Muni Meter,37,0.0,55.0
4,2015-05-09,XU399F,NJ,7055049702.0,SILVE,8888-01-01 00:00:00,UD,No Standing,14,0.0,56.0
5,2015-05-12,GVJ6924,NY,8024714814.0,GY,2017-01-01 00:00:00,NISSA,No Parking (street clean),21,0.0,60.0
6,2015-05-21,T653918C,NY,8018677712.0,WH,2015-01-01 00:00:00,TOYOT,No Parking (street clean),21,0.0,61.0
7,2015-05-28,EWT8528,NY,8018711094.0,GY,2016-01-01 00:00:00,HONDA,Expired Muni Meter,37,0.0,66.0
8,2015-05-12,FZD9325,NY,7231151954.0,GY,2016-01-01 00:00:00,NISSA,No Parking (street clean),21,0.0,77.0
9,2015-05-01,GMW8673,NY,8023566775.0,GY,2016-01-01 00:00:00,SUBAR,No Parking (street clean),21,0.0,104.0
10,2015-05-27,EXS3290,NY,7047383785.0,GY,2016-01-01 00:00:00,LEXUS,No Std (Com Veh) Non-COM,16A,0.0,116.0
11,2015-05-17,246ZSK,CT,7773113440.0,BLACK,2015-01-01 00:00:00,HONDA,No Standing,14,0.0,122.0
12,2015-05-03,GLS5435,NY,1381130574.0,BK,2015-01-01 00:00:00,NISSA,,,0.0,123.0
13,2015-05-15,23046MD,NY,7686364550.0,WH,2016-01-01 00:00:00,FRUEH,No Stand (bus stop),19,0.0,139.0
14,2015-05-01,VAD73J,NJ,7929999350.0,SILVE,8888-01-01 00:00:00,TOYOT,Expired Muni Meter,37,0.0,144.0
15,2015-05-09,ERL6093,NY,1381851332.0,GY,2017-01-01 00:00:00,MAZDA,,,0.0,160.0
16,2015-05-26,GVA9768,NY,8030852095.0,BK,2017-01-01 00:00:00,ACURA,Covered Plate,74B,1.0,183.0
17,2015-05-16,BXRK02,FL,7663451200.0,WHITE,8888-01-01 00:00:00,SCION,Expired Muni Meter,37,0.0,194.0
18,2015-05-09,GNV6650,NY,8015673574.0,WHITE,2016-01-01 00:00:00,FORD,No Std (Com Veh) Non-COM,16A,0.0,199.0
19,2015-05-05,GBE2287,NY,7752342853.0,TN,2016-01-01 00:00:00,TOYOT,No Parking (Non-COM),20A,0.0,200.0
20,2015-05-15,DMN1071,NY,7081807252.0,WH,2015-01-01 00:00:00,HYUND,Failure to Display Muni Rec,38,0.0,229.0
21,2015-05-21,GRJ9098,NY,7800774284.0,GY,2016-01-01 00:00:00,TOYOT,No Parking (street clean),21,0.0,239.0
22,2015-05-16,GNN6627,NY,7805788054.0,GY,2016-01-01 00:00:00,NISSA,Insp Sticker Expired (NYS),71A,0.0,245.0
23,2015-05-19,GDM8644,NY,7505150315.0,GY,2017-01-01 00:00:00,HONDA,Insp Sticker Expired (NYS),71A,0.0,267.0
24,2015-05-13,22683MA,NY,1384000598.0,WH,2016-01-01 00:00:00,MITSU,,,0.0,269.0
25,2015-05-09,GMA9476,NY,7009175263.0,BR,2016-01-01 00:00:00,FORD,Failure to Display Muni Rec,38,0.0,276.0
26,2015-05-06,FWT2202,NY,7123309534.0,BL,2016-01-01 00:00:00,FIAT,No Parking (street clean),21,0.0,284.0
27,2015-05-12,FFV6244,NY,8021519101.0,BK,2017-01-01 00:00:00,ME/BE,Failure to Display Muni Rec,38,0.0,293.0
28,2015-05-27,2028134,IN,7577999090.0,WHITE,2015-01-01 00:00:00,FRUEH,No Standing,14,0.0,299.0
29,2015-05-02,4BT0407,MD,8011232496.0,GREY,2016-01-01 00:00:00,MAZDA,No Standing,14,0.0,302.0
30,2015-05-08,83546JU,NY,7508746788.0,BLACK,2016-01-01 00:00:00,FORD,Double Parking (Com-100Ft),46B,0.0,306.0
31,2015-05-12,GNW6965,NY,1382798489.0,SILVE,2016-01-01 00:00:00,NISSA,,,0.0,309.0
32,2015-05-10,GMB1289,NY,8030470393.0,WH,2016-01-01 00:00:00,HONDA,No Parking (Non-COM),20A,0.0,318.0
33,2015-05-22,GPP9583,NY,8003790359.0,BL,2016-01-01 00:00:00,FORD,Failure to Display Muni Rec,38,0.0,320.0
34,2015-05-13,FZB1147,NY,7071181949.0,BL,2016-01-01 00:00:00,BMW,No Standing,14,0.0,335.0
35,2015-05-16,EAD3448,NY,7006646352.0,BK,2015-01-01 00:00:00,NISSA,Expired Muni Meter,37,0.0,340.0
36,2015-05-28,DFZ4515,PA,8023548505.0,BROWN,2015-01-01 00:00:00,JEEP,No Parking (street clean),21,0.0,354.0
37,2015-05-19,231YXR,CO,7075789247.0,GREY,8888-01-01 00:00:00,NISSA,No Parking (street clean),21,0.0,357.0
38,2015-05-21,4V17A,NY,8006882691.0,YW,2015-01-01 00:00:00,FORD,Failure to Display Muni Rec,38,0.0,360.0
39,2015-05-30,18397KA,NY,7423492711.0,WH,2015-01-01 00:00:00,FORD,No Parking (Com Plate),20,0.0,363.0
40,2015-05-04,GPF1941,NY,8016860760.0,GL,2016-01-01 00:00:00,CHRYS,No Parking (street clean),21,0.0,411.0
41,2015-05-06,28933AT,NY,8043162864.0,YW,2016-01-01 00:00:00,FORD,No Standing,14,0.0,412.0
42,2015-05-16,GJN1298,NY,7803230696.0,BK,2015-01-01 00:00:00,SATUR,No Parking (Non-COM),20A,0.0,425.0
43,2015-05-04,EAD9620,NY,8027365340.0,GY,2015-01-01 00:00:00,HONDA,Reg. Sticker Expired (NYS),70A,0.0,428.0
44,2015-05-15,5972UK,ME,8044001293.0,BLACK,2015-01-01 00:00:00,VOLVO,No Parking (street clean),21,0.0,429.0
45,2015-05-28,AM709V,NJ,8042657018.0,GREEN,8888-01-01 00:00:00,FRUEH,Double Parking (Com-100Ft),46B,0.0,440.0
46,2015-05-21,GSD4370,NY,1382562391.0,GRAY,2015-01-01 00:00:00,VOLKS,,,0.0,455.0
47,2015-05-04,FMS3619,NY,7641596939.0,GY,2015-01-01 00:00:00,TOYOT,Failure to Display Muni Rec,38,0.0,458.0
48,2015-05-20,T502130C,NY,8024268784.0,BK,2016-01-01 00:00:00,LINCO,Crosswalk,50,0.0,466.0
49,2015-05-17,GNF9328,NY,1381822990.0,GY,2016-01-01 00:00:00,NISSA,,,0.0,467.0
50,2015-05-02,CRJ3679,NY,1381460379.0,GR,2015-01-01 00:00:00,TOYOT,,,0.0,468.0
51,2015-05-06,12633,MA,7061881641.0,PURPL,2015-01-01 00:00:00,PREVO,No Intercity Pmt Displ,01,0.0,473.0
52,2015-05-09,DZD1953,NY,7418306647.0,BK,2015-01-01 00:00:00,DODGE,Reg. Sticker Expired (NYS),70A,0.0,482.0
53,2015-05-15,98400JX,NY,8033130039.0,BROWN,8888-01-01 00:00:00,WORKH,Sidewalk,51,0.0,494.0
54,2015-05-05,99647PA,NY,8029468374.0,WH,2015-01-01 00:00:00,MACK,Platform lifts in low posit,84,0.0,497.0
55,2015-05-02,GZS5415,PA,7477165441.0,BLACK,2015-01-01 00:00:00,SCION,Failure to Display Muni Rec,38,0.0,504.0
56,2015-05-21,62369JM,NY,8007240731.0,BROWN,8888-01-01 00:00:00,INTER,Failure to Display Muni Rec,38,0.0,505.0
57,2015-05-12,FXP4482,NY,7094796766.0,BK,2016-01-01 00:00:00,VOLKS,Failure to Display Muni Rec,38,0.0,527.0
58,2015-05-09,GGY2086,NY,8043750464.0,BK,2015-01-01 00:00:00,CHEVR,Expired Muni Meter,37,0.0,539.0
59,2015-05-22,DSL9428,NY,7580777095.0,GY,2016-01-01 00:00:00,ACURA,No Parking (street clean),21,0.0,543.0
60,2015-05-05,21417LV,NY,8028111701.0,BK,2016-01-01 00:00:00,ME/BE,No Stand (Com. Mtr. Zone),31,0.0,551.0
61,2015-05-20,FLX2393,NY,7155052887.0,WH,2015-01-01 00:00:00,BMW,Fire Hydrant,40,0.0,586.0
62,2015-05-06,GEA4212,NY,7977494840.0,GY,2017-01-01 00:00:00,CHRYS,Insp Sticker Expired (NYS),71A,0.0,602.0
63,2015-05-16,GXZ9361,NY,7926381056.0,BLACK,2015-01-01 00:00:00,HONDA,Failure to Display Muni Rec,38,0.0,620.0
64,2015-05-07,FYT5077,NY,7121142685.0,GY,2016-01-01 00:00:00,HYUND,Failure to Display Muni Rec,38,0.0,622.0
65,2015-05-14,82407MC,NY,7807002682.0,WHITE,2017-01-01 00:00:00,FORD,No Parking (Com Plate),20,0.0,626.0
66,2015-05-18,GAW7207,NY,7405148578.0,GREY,2015-01-01 00:00:00,DODGE,Reg. Sticker Expired (NYS),70A,0.0,632.0
67,2015-05-13,GXT6289,NY,8016916557.0,GREY,2015-01-01 00:00:00,KIA,Failure to Display Muni Rec,38,0.0,635.0
68,2015-05-13,Y118452,OR,7291489246.0,WHITE,8888-01-01 00:00:00,FRUEH,No Standing,14,0.0,640.0
69,2015-05-11,GWK6946,NY,7096699545.0,BK,2017-01-01 00:00:00,TOYOT,Failure to Display Muni Rec,38,0.0,662.0
70,2015-05-11,75050MC,NY,1379906234.0,WH,2016-01-01 00:00:00,FORD,,,0.0,669.0
71,2015-05-11,23772JP,NY,8025317201.0,WH,2015-01-01 00:00:00,FRUEH,Expired Muni Meter,37,0.0,708.0
72,2015-05-02,42345JZ,NY,7233563718.0,WHITE,8888-01-01 00:00:00,CHEVR,Failure to Display Muni Rec,38,0.0,720.0
73,2015-05-28,FMT5690,NY,8024154614.0,GREY,2015-01-01 00:00:00,GMC,Failure to Display Muni Rec,38,0.0,728.0
74,2015-05-22,CUK2188,NY,8035610582.0,GY,2016-01-01 00:00:00,NISSA,No Parking (street clean),21,0.0,736.0
75,2015-05-19,85913MD,NY,7927547720.0,BROWN,8888-01-01 00:00:00,FRUEH,Failure to Display Muni Rec,38,0.0,755.0
76,2015-05-21,KJA170,SC,7185555474.0,WHITE,2015-01-01 00:00:00,FORD,No Parking (street clean),21,0.0,773.0
77,2015-05-01,B75CDR,NJ,7069178608.0,WHITE,8888-01-01 00:00:00,ME/BE,Expired Muni Meter,37,0.0,784.0
78,2015-05-05,81358JN,NY,7915734532.0,WHITE,2015-01-01 00:00:00,CHEVR,No Std (Com Veh) Com Plate,16,0.0,790.0
79,2015-05-11,468PH4,MA,7526398960.0,BLACK,2016-01-01 00:00:00,ROVER,No Parking (street clean),21,0.0,792.0
80,2015-05-26,63009JM,NY,7060611411.0,BROWN,8888-01-01 00:00:00,GMC,No Standing,14,0.0,795.0
81,2015-05-23,ENU6727,NY,1368283238.0,SILVE,2017-01-01 00:00:00,TOYOT,,,0.0,813.0
82,2015-05-04,GFZ2208,NY,7569803127.0,BK,2015-01-01 00:00:00,BMW,Missing Display Plate,74,0.0,814.0
83,2015-05-05,GMR4872,NY,8017291991.0,BL,2016-01-01 00:00:00,NISSA,Insp Sticker Expired (NYS),71A,0.0,839.0
84,2015-05-11,FHP7710,NY,7413989037.0,WH,2017-01-01 00:00:00,NISSA,Double Parking (Non-COM),46A,0.0,858.0
85,2015-05-23,W49ELP,NJ,7725501915.0,SILVE,8888-01-01 00:00:00,BMW,Failure to Display Muni Rec,38,0.0,867.0
86,2015-05-08,GUV7627,NY,1380810164.0,WHITE,2017-01-01 00:00:00,PONTI,,,0.0,869.0
87,2015-05-21,GHN8054,NY,8005538157.0,RD,2015-01-01 00:00:00,JEEP,Expired Muni Meter,37,0.0,888.0
88,2015-05-01,2284319,IN,8015578152.0,WHITE,8888-01-01 00:00:00,FRUEH,Double Parking (Com-100Ft),46B,0.0,913.0
89,2015-05-13,GTJ5846,NY,1383036240.0,BLACK,2016-01-01 00:00:00,MAZDA,,,0.0,916.0
90,2015-05-26,GNW1947,NY,7738767467.0,WH,2016-01-01 00:00:00,HONDA,Insp Sticker Expired (NYS),71A,0.0,929.0
91,2015-05-29,GHP2725,NY,8016389843.0,BLACK,2015-01-01 00:00:00,NISSA,No Parking (street clean),21,0.0,930.0
92,2015-05-26,51903MG,NY,7917383829.0,WH,2016-01-01 00:00:00,HINO,No Standing,14,0.0,936.0
93,2015-05-21,GAB1363,NY,7187964456.0,BK,2016-01-01 00:00:00,HYUND,No Standing,14,0.0,937.0
94,2015-05-08,61686JC,NY,7692762510.0,WHITE,2017-01-01 00:00:00,FORD,Insp Sticker Expired (NYS),71A,0.0,973.0
95,2015-05-12,GWV4116,NY,7701190089.0,BK,2017-01-01 00:00:00,LINCO,Expired Muni Meter,37,0.0,975.0
96,2015-05-21,Y45FHC,NJ,8027459450.0,SILVE,8888-01-01 00:00:00,KIA,No Std (Com Veh) Non-COM,16A,0.0,1007.0
97,2015-05-24,JCL4385,PA,1374882173.0,GY,2016-01-01 00:00:00,CHEVR,,,0.0,1020.0
98,2015-05-05,FTG1427,NY,7788786263.0,GY,2017-01-01 00:00:00,NISSA,Fire Hydrant,40,0.0,1027.0
99,2015-05-05,AP672M,NJ,7298244814.0,WHITE,8888-01-01 00:00:00,INTER,No Standing,14,0.0,1038.0
100,2015-05-21,CCW5683,NY,1373141669.0,GY,2016-01-01 00:00:00,HONDA,,,0.0,1043.0
101,2015-05-31,T652837,NY,1368071363.0,BLACK,2016-01-01 00:00:00,TOYOT,,,0.0,1049.0
